circulating_supply,currency,inflation,inflation_total,real_yield,staked_supply,staking_rate,timestamp,total_supply,yield,open,high,low,close,volume,market_cap
246889596,Cosmos,0.068853,0.068853,0.02399,179895604,0.72865,2019-11-07T23:26:04.609961,246889596,0.09449,3.76,3.9,3.66,3.89,138168547,741610195
246843783,Cosmos,0.068879,0.068879,0.02392,180026285,0.72931,2019-11-06T23:52:45.996973,246843783,0.09444,3.76,3.87,3.69,3.76,119134299,717109050
246797082,Cosmos,0.068907,0.068907,0.02379,180266805,0.73042,2019-11-05T23:52:41.935973,246797082,0.09434,3.62,3.81,3.54,3.75,198537684,715727237
246750420,Cosmos,0.068929,0.068929,0.0238,180227623,0.7304,2019-11-04T23:52:43.024923,246750420,0.09437,3.39,3.66,3.35,3.62,167015305,691042409
246703665,Cosmos,0.068954,0.068954,0.0236,180620418,0.73214,2019-11-03T23:52:42.550328,246703665,0.09418,3.43,3.46,3.31,3.4,134586294,647561219
246656835,Cosmos,0.068965,0.068965,0.0236,180594363,0.73217,2019-11-02T23:52:41.094313,246656835,0.09419,3.27,3.47,3.26,3.43,146612238,654660477
246609950,Cosmos,0.068973,0.068973,0.02353,180706002,0.73276,2019-11-01T23:52:39.814303,246609950,0.09413,3.22,3.31,3.14,3.27,141989599,623512129
246562975,Cosmos,0.068979,0.068979,0.02348,180771640,0.73317,2019-10-31T23:52:34.132502,246562975,0.09408,3.03,3.3,3.03,3.21,123316945,611175820
246516060,Cosmos,0.068971,0.068971,0.02347,180765259,0.73328,2019-10-30T23:52:48.613011,246516060,0.09406,3.15,3.2,2.97,3.04,159635853,578792666
246469208,Cosmos,0.068979,0.068979,0.02345,180779257,0.73348,2019-10-29T23:52:47.269397,246469208,0.09404,3.11,3.2,3.08,3.16,174949603,601809776
246422748,Cosmos,0.069019,0.069019,0.02349,180684096,0.73323,2019-10-28T23:52:56.167881,246422748,0.09413,3.2,3.33,3.08,3.11,201010232,593950561
246376383,Cosmos,0.069062,0.069062,0.02337,180921365,0.73433,2019-10-27T23:52:41.690631,246376383,0.09405,3.09,3.29,2.98,3.2,202467915,610752427
246329901,Cosmos,0.069084,0.069084,0.02337,180895791,0.73436,2019-10-26T23:52:43.652307,246329901,0.09407,3.02,3.27,3.01,3.09,247034524,588786104
246283356,Cosmos,0.068906,0.068906,0.0233,180891179,0.73448,2019-10-25T23:52:48.449859,246283356,0.09382,2.85,3.11,2.79,3.02,202151948,575105054
246236799,Cosmos,0.068934,0.068934,0.02316,181174694,0.73577,2019-10-24T23:52:44.314837,246236799,0.09369,2.69,2.87,2.66,2.85,121047890,543146436
246190197,Cosmos,0.068972,0.068972,0.02315,181183857,0.73595,2019-10-23T23:52:44.039977,246190197,0.09372,2.88,2.91,2.6,2.69,154724341,512752506
246143801,Cosmos,0.069029,0.069029,0.0232,181092072,0.73572,2019-10-22T23:52:48.343863,246143801,0.09383,2.99,3.02,2.87,2.88,139307790,548912904
246097240,Cosmos,0.069082,0.069082,0.02311,181274259,0.7366,2019-10-21T23:52:53.993077,246097240,0.09379,2.91,3.01,2.85,2.99,138325074,570027385
246050478,Cosmos,0.069127,0.069127,0.023,181489568,0.73761,2019-10-20T23:52:44.082482,246050478,0.09372,2.76,2.94,2.71,2.9,123509827,553775159
