circulating_supply,currency,inflation,inflation_total,real_yield,staked_supply,staking_rate,timestamp,total_supply,yield,open,high,low,close,volume,market_cap
9232297,Dash,0.033693,0.074874,-0.00859,4739000,0.51331,2019-12-24T23:27:56.109860,9232297,0.06564,43.07,43.39,41.87,42.02,234610156,387771587
9230607,Dash,0.033724,0.074941,-0.00883,4756000,0.51524,2019-12-23T23:25:49.813416,9230607,0.06545,44.32,44.91,42.84,43.05,221437668,397172828
9228889,Dash,0.033712,0.074916,-0.00882,4755000,0.51523,2019-12-22T23:25:50.217759,9228889,0.06543,43.04,44.36,42.7,44.34,207633884,409023239
9227174,Dash,0.033713,0.074919,-0.00885,4756000,0.51543,2019-12-21T23:25:56.648841,9227174,0.06541,43.52,43.66,42.77,43.05,202625006,397001323
9225490,Dash,0.033737,0.07497,-0.0089,4759000,0.51585,2019-12-20T23:27:57.269261,9225490,0.0654,43.54,44.11,43.06,43.52,236620822,401322904
9223782,Dash,0.033722,0.074939,-0.00894,4761000,0.51617,2019-12-19T23:25:56.640315,9223782,0.06533,44.55,44.94,42.29,43.54,246793993,401355359
9222067,Dash,0.03374,0.074978,-0.00899,4764000,0.51659,2019-12-18T23:25:53.632173,9222067,0.06531,41.49,45.23,40.83,44.52,274331819,410325000
9220386,Dash,0.03375,0.075001,-0.00912,4773000,0.51766,2019-12-17T23:25:50.265310,9220386,0.0652,46.42,46.46,41.01,41.37,262627863,381266341
9218675,Dash,0.033757,0.075016,-0.00927,4784000,0.51895,2019-12-16T23:25:49.791233,9218675,0.06505,51.03,51.08,46.07,46.42,255386554,427712733
9216966,Dash,0.033761,0.075025,-0.00966,4814000,0.5223,2019-12-15T23:25:45.227427,9216966,0.06464,49.95,51.42,49.14,51.03,274840843,470140384
9215260,Dash,0.033775,0.075055,-0.0097,4816000,0.52261,2019-12-14T23:25:52.111770,9215260,0.06463,50.74,51.23,49.59,49.94,251838983,460001543
9213570,Dash,0.033781,0.075069,-0.00961,4808000,0.52184,2019-12-13T23:25:51.320131,9213570,0.06473,50.17,50.92,50.01,50.71,263841028,466985550
9211862,Dash,0.03379,0.075089,-0.00984,4825000,0.52378,2019-12-12T23:25:55.272091,9211862,0.06451,49.82,50.54,49.07,50.19,269911451,462055963
9210147,Dash,0.033781,0.07507,-0.00964,4808000,0.52203,2019-12-11T23:25:44.832727,9210147,0.06471,50.25,51.17,49.49,49.76,254820772,458025959
9208441,Dash,0.033773,0.075052,-0.00968,4811000,0.52246,2019-12-10T23:25:55.219944,9208441,0.06464,51.5,51.91,49.9,50.24,263294458,462399634
9206736,Dash,0.033783,0.075074,-0.00973,4814000,0.52288,2019-12-09T23:26:51.376150,9206736,0.06461,52.22,53.13,51.19,51.51,279494268,474025810
9205040,Dash,0.033799,0.075109,-0.00974,4813000,0.52287,2019-12-08T23:25:59.879534,9205040,0.06464,52.8,52.92,51.87,52.2,250165556,480207234
9198442,Dash,0.033822,,,4810000,0.52292,2019-12-07T23:26:22.680000,,0.06468,52.59,53.33,52.04,52.81,254685506,485736262
